Symbol,Token,Strike,Close Price
NIFTY25JUL24P21250,64534,21250,0.05
NIFTY25JUL24P21300,64686,21300,0.05
NIFTY25JUL24P21350,64702,21350,0.05
NIFTY25JUL24P21400,64706,21400,0.05
NIFTY25JUL24P21450,64708,21450,0.05
NIFTY25JUL24P21500,64710,21500,0.05
NIFTY25JUL24P21550,64820,21550,0.05
NIFTY25JUL24P21600,64830,21600,0.05
NIFTY25JUL24P21650,64832,21650,0.05
NIFTY25JUL24P21700,64834,21700,0.05
NIFTY25JUL24P21750,64844,21750,0.05
NIFTY25JUL24P21800,64852,21800,0.05
NIFTY25JUL24P21850,64860,21850,0.05
NIFTY25JUL24P21900,64866,21900,0.05
NIFTY25JUL24P21950,64876,21950,0.05
NIFTY25JUL24P22000,64894,22000,0.05
NIFTY25JUL24P22050,64920,22050,0.05
NIFTY25JUL24P22100,64928,22100,0.05
NIFTY25JUL24P22150,64932,22150,0.05
NIFTY25JUL24P22200,64940,22200,0.05
NIFTY25JUL24P22250,64948,22250,0.05
NIFTY25JUL24P22300,64960,22300,0.05
NIFTY25JUL24P22350,64966,22350,0.05
NIFTY25JUL24P22400,64980,22400,0.05
NIFTY25JUL24P22450,64998,22450,0.05
NIFTY25JUL24P22500,65002,22500,0.05
NIFTY25JUL24P22550,65004,22550,0.05
NIFTY25JUL24P22600,65008,22600,0.05
NIFTY25JUL24P22650,65010,22650,0.05
NIFTY25JUL24P22700,65031,22700,0.05
NIFTY25JUL24P22750,65038,22750,0.05
NIFTY25JUL24P22800,65040,22800,0.05
NIFTY25JUL24P22850,65044,22850,0.05
NIFTY25JUL24P22900,65048,22900,0.05
NIFTY25JUL24P22950,65092,22950,0.05
NIFTY25JUL24P23000,65104,23000,0.05
NIFTY25JUL24P23050,65108,23050,0.05
NIFTY25JUL24P23100,65166,23100,0.05
NIFTY25JUL24P23150,65168,23150,0.05
NIFTY25JUL24P23200,65184,23200,0.05
NIFTY25JUL24P23250,65194,23250,0.05
NIFTY25JUL24P23300,65200,23300,0.05
NIFTY25JUL24P23350,65204,23350,0.05
NIFTY25JUL24P23400,65212,23400,0.05
NIFTY25JUL24P23450,65214,23450,0.05
NIFTY25JUL24P23500,65232,23500,0.05
NIFTY25JUL24P23550,65236,23550,0.05
NIFTY25JUL24P23600,65240,23600,0.05
NIFTY25JUL24P23650,65248,23650,0.05
NIFTY25JUL24P23700,65256,23700,0.05
NIFTY25JUL24P23750,65262,23750,0.05
NIFTY25JUL24P23800,65264,23800,0.1
NIFTY25JUL24P23850,65268,23850,0.25
NIFTY25JUL24P23900,65270,23900,0.5
NIFTY25JUL24P23950,65272,23950,0.95
NIFTY25JUL24P24000,65296,24000,1.85
NIFTY25JUL24P24050,65314,24050,3.45
NIFTY25JUL24P24100,65316,24100,6.1
NIFTY25JUL24P24150,65320,24150,10.25
NIFTY25JUL24P24200,65322,24200,16.6
NIFTY25JUL24C24250,65323,24250,166.0
NIFTY25JUL24C24300,65333,24300,130.8
NIFTY25JUL24C24350,65335,24350,97.85
NIFTY25JUL24C24400,65376,24400,71.8
NIFTY25JUL24C24450,65378,24450,51.05
NIFTY25JUL24C24500,65411,24500,34.0
NIFTY25JUL24C24550,65468,24550,22.5
NIFTY25JUL24C24600,65473,24600,14.85
NIFTY25JUL24C24650,65490,24650,9.9
NIFTY25JUL24C24700,65492,24700,6.6
NIFTY25JUL24C24750,65506,24750,4.65
NIFTY25JUL24C24800,65514,24800,3.2
NIFTY25JUL24C24850,65520,24850,1.75
NIFTY25JUL24C24900,65534,24900,0.95
NIFTY25JUL24C24950,65538,24950,0.5
NIFTY25JUL24C25000,65550,25000,0.25
NIFTY25JUL24C25050,65566,25050,0.1
NIFTY25JUL24C25100,65572,25100,0.05
NIFTY25JUL24C25150,65580,25150,0.05
NIFTY25JUL24C25200,65588,25200,0.05
NIFTY25JUL24C25250,65600,25250,0.05
NIFTY25JUL24C25300,65608,25300,0.05
NIFTY25JUL24C25350,65627,25350,0.05
NIFTY25JUL24C25400,65631,25400,0.05
NIFTY25JUL24C25450,65635,25450,0.05
NIFTY25JUL24C25500,65637,25500,0.05
NIFTY25JUL24C25550,65651,25550,0.05
NIFTY25JUL24C25600,65655,25600,0.05
NIFTY25JUL24C25650,65657,25650,0.05
NIFTY25JUL24C25700,65659,25700,0.05
NIFTY25JUL24C25750,65665,25750,0.05
NIFTY25JUL24C25800,65667,25800,0.05
NIFTY25JUL24C25850,65671,25850,0.05
NIFTY25JUL24C25900,65676,25900,0.05
NIFTY25JUL24C25950,65692,25950,0.05
NIFTY25JUL24C26000,65694,26000,0.05
NIFTY25JUL24C26050,65698,26050,0.05
NIFTY25JUL24C26100,39563,26100,0.05
NIFTY25JUL24C26150,39565,26150,0.05
NIFTY25JUL24C26200,69156,26200,0.05
NIFTY25JUL24C26250,69158,26250,0.05
NIFTY25JUL24C26300,69160,26300,0.05
NIFTY25JUL24C26350,69162,26350,0.05
NIFTY25JUL24C26400,69164,26400,0.05
NIFTY25JUL24C26450,69166,26450,0.05
NIFTY25JUL24C26500,45260,26500,0.05
NIFTY25JUL24C26550,45266,26550,0.05
NIFTY25JUL24C26600,45268,26600,0.05
NIFTY25JUL24C26650,45278,26650,0.05
NIFTY25JUL24C26700,45280,26700,0.05
NIFTY25JUL24C26750,45285,26750,0.05
NIFTY25JUL24C26800,45290,26800,0.05
NIFTY25JUL24C26850,45294,26850,0.05
NIFTY25JUL24C26900,45296,26900,0.05
NIFTY25JUL24C26950,45300,26950,0.05
NIFTY25JUL24C27000,45302,27000,0.05
NIFTY25JUL24C27050,45306,27050,0.05
NIFTY25JUL24C27100,45310,27100,0.05
NIFTY25JUL24C27150,45312,27150,0.05
NIFTY25JUL24C27200,45314,27200,0.05
NIFTY25JUL24C27250,45317,27250,0.05
NIFTY01AUG24P21250,37617,21250,0.05
NIFTY01AUG24P21300,37629,21300,0.05
NIFTY01AUG24P21350,37634,21350,0.05
NIFTY01AUG24P21400,37641,21400,0.05
NIFTY01AUG24P21450,39674,21450,0.05
NIFTY01AUG24P21500,40770,21500,0.05
NIFTY01AUG24P21550,40772,21550,0.05
NIFTY01AUG24P21600,40774,21600,0.05
NIFTY01AUG24P21650,40776,21650,0.05
NIFTY01AUG24P21700,40778,21700,0.05
NIFTY01AUG24P21750,40780,21750,1.95
NIFTY01AUG24P21800,40782,21800,1.95
NIFTY01AUG24P21850,40784,21850,2.2
NIFTY01AUG24P21900,40786,21900,2.3
NIFTY01AUG24P21950,40789,21950,2.9
NIFTY01AUG24P22000,40794,22000,2.5
NIFTY01AUG24P22050,40796,22050,2.4
NIFTY01AUG24P22100,40798,22100,2.5
NIFTY01AUG24P22150,40801,22150,2.6
NIFTY01AUG24P22200,40803,22200,2.55
NIFTY01AUG24P22250,40805,22250,2.45
NIFTY01AUG24P22300,40807,22300,2.6
NIFTY01AUG24P22350,40809,22350,2.95
NIFTY01AUG24P22400,40813,22400,2.7
NIFTY01AUG24P22450,40820,22450,2.85
NIFTY01AUG24P22500,40824,22500,2.7
NIFTY01AUG24P22550,40828,22550,3.15
NIFTY01AUG24P22600,40830,22600,2.9
NIFTY01AUG24P22650,40834,22650,3.0
NIFTY01AUG24P22700,40842,22700,3.15
